Title,Language,Genres,Rating,Popularity,Release Date,Cast,Overview,Vote_Count
Ekangi,Kannada,Drama,0.0,0.4784,2002-01-01,"V. Ravichandran, Ramya Krishnan, Prakash Raj","Ekangi is a psychological thriller which portrays the peace and joy in lonely life. Ravi, an adult who happily lives alone in a big house and always follows his father's last words ""Be happy to be alone, Be alone to be happy"". One day at a bar, he falls for a beautiful lady and invites her to his house. From that moment, how Ravi's life takes wrong turn forms the rest of the story.",0.0
Nathicharami,Kannada,Drama,7.4,0.2673,2018-12-28,"Sruthi Hariharan, Balaji Manohar, Sanchari Vijay, Poornachandra Mysuru",,7.0
Hello Yama,Kannada,"Drama, Comedy",0.0,0.4638,1998-07-27,"Kashinath, Doddanna, Sadhu Kokila","Hello Yama is a 1998 Indian Kannada-language comedy drama film directed by A R Babu and starring Kashinath and Doddanna in the titular role and Sadhu Kokila, who also composed the music.",0.0
Pailwaan,Kannada,"Action, Drama",6.2,0.4993,2019-09-12,"Sudeep, Aakanksha Singh, Suniel Shetty, Kabir Duhan Singh, Sushant Singh",A fierce wrestler becomes the symbol of hope for his people when he rises against the odds and fights the brutal oppression.,9.0
Padavi Poorva,Kannada,"Drama, Comedy, Romance",0.0,0.288,2022-12-30,"Prithvi Shamanur, Anjali Anish, Yasha Shivakumar, Rangayana Raghu, Sharath Lohitashwa","Naveen, Nitya and their gang of childhood friends begin their college life with various dreams but there was too much turmoil in the group and they split. Will Navin succeed in getting the group back together?",0.0
Saheba,Kannada,"Family, Romance, Drama",7.0,0.3747,2017-08-25,"Manoranjan Ravichandran, Shanvi Shrivastava, Lakshmi, Bullet Prakash, Kuri Prathap","An ordinary book shop owner Manu, helps Nandhini to enter film industry, without coming into the picture.",1.0
Rama Shama Bhama,Kannada,Comedy,9.5,0.4195,2005-12-09,"Ramesh Aravind, Kamal Haasan, Urvashi, Shruti, Daisy Bopanna","Rama, a married man, has an affair with Priya who pursues him despite knowing about his wife. When his friend Shama learns of the affair, the latter decides to reunite him with his wife.",1.0
Martin,Kannada,"Action, Drama, Thriller",2.3,0.4162,2024-10-11,"Dhruva Sarja, Vaibhavi Shandilya, Anveshi Jain, Giorgia Andriani, Chikkanna","Martin revolves around Lt. Brigadier Arjun Saxena, whose journey takes him from Pakistan to India to discover his real identity and fight against black market dealers, who are involved with terrorists to orchestrate massive attacks in the country.",7.0
Rustum,Kannada,"Action, Drama",5.0,0.3927,2019-06-28,"Shivaraj Kumar, Vivek Oberoi, Shraddha Srinath, Rachita Ram, Mayuri Kyatari","The disappearance of an honest IAS officer leads to his family seeking help from police, but to no avail. To their assistance arrives Abhishek, someone who happens to be there for them in times of need. But why does he want to help them? What is his real identity?",2.0
Chigurida Kanasu,Kannada,"Drama, Family, Romance",0.0,0.3924,2003-10-02,"Shivaraj Kumar, Vidhya Venkatesh, Rekha Unnikrishnan, Anant Nag, Avinash","Shankar, a city lad, pays a visit to his ancestral village. When he decides to settle there for good, he faces opposition from his own family and from a village bigwig.",0.0
Ugramm,Kannada,"Action, Drama, Thriller",6.7,0.3892,2014-02-21,"Sriimurali, Hariprriya, Tilak Shekar, Padmaja Rao, Atul Kulkarni","Shivarudra Lingaiah, an MLA candidate, who along with Dheeraj, is awaiting to extract vengeance upon Prabhakar by killing his Daughter Nithya. She arrives at Bangalore to Talagavara to visit her late mother's grave and is kidnapped by Dheeraj's gang on the way. Agastya is an automobile mechanic, who saves her from Dheeraj's gang. He takes her to his house for safeguarding as advised by Prabhakar's family-friend, Vishwa.",13.0
Madhagaja,Kannada,"Action, Crime, Thriller",3.0,0.385,2021-12-03,"Sriimurali, Ashika Ranganath, Chikkanna, Shivaraj KR Pate, Jagapati Babu","Two warring lords are fighting over water and bloodshed. When the wife of one of them decides to send her son away from the land to a safe space, he returns to the same battlefield, much to her exasperation.",2.0
Ee Bandhana,Kannada,"Drama, Family",2.0,0.3822,2007-12-21,"Vishnuvardhan, Jaya Prada, Darshan Thoogudeepa Srinivas, Anant Nag, Tara","Remake of  Hindi film Bhagban(2003), which itself is an unofficial adaptation of Make Way for Tomorrow (1937). An old couple sacrifices everything so their children live a happy life. However, they are forced to separate and subjected to ill-treatment and disrespect in their children's homes.",1.0
Vikrant Rona,Kannada,"Thriller, Action, Mystery",6.0,0.3807,2022-07-28,"Sudeep, Nirup Bhandari, Jacqueline Fernandez, Neetha Ashok, Ravishanker Gowda","Almost half a century ago, a remote village in the middle of a tropical rain forest starts witnessing a series of unexplainable events which they attribute to the supernatural. Vikrant Rona, An eccentric police officer, is assigned to solve the mystery.  A mysterious game unfolds where everyone in the village is a potential victim and everyone is a suspect.",27.0
99,Kannada,Drama,6.2,0.374,2019-05-01,"Bhavana, Ganesh",99 is a 2019 Indian Kannada-language romance film directed by Preetham Gubbi and produced by Ramu. The film stars Ganesh and Bhavana in the lead roles.The film was released on 1 May 2019. It is a remake of the 2018 Tamil film 96 which was reported to have similarities with the 2016 movie Blue Jay.,3.0
Yuddhakaanda Chapter 2,Kannada,Drama,0.0,0.3725,2025-06-20,"Ajai Rao, Archana Jois, Supritha Sathyanarayana, Prakash Belawadi","A hotel cashier turned lawyer, Bharath Hanumanth, navigates his early career in a small law firm while defending Niveditha in a high-stakes courtroom case. He faces off against his former mentor in a story exploring justice.",0.0
Ondu Sarala Prema Kathe,Kannada,"Drama, Romance",0.0,0.3701,2024-02-08,"Vinay Rajkumar, Swathishta Krishnan, Mallika Singh, Karthik Mahesh, Sadhu Kokila","Athishay is a young man who wants to become a music director. Anu is a kind hearted and caring woman. When it comes to love, being a musician Athishay dreams of a woman who matches the rhythm of his heartbeat, and Anu is waiting for a person who is genuine & wishes good for others without expecting anything in return. In a twist of fate, Athisay and Anu get married to each other. However, they do not lose hope and continue their quest for true love.",0.0
Swathi Mutthina Male Haniye,Kannada,"Romance, Drama",10.0,0.3625,2023-11-24,"Raj B Shetty, Siri Ravikumar, Balaji Manohar, Surya Vasishta, Rekha Kudligi","Prerana, a hospice counsellor at a palliative care facility, finds a new meaning in her life when she befriends Aniketh, a terminally ill patient suffers from gastrointestinal cancer. Their bond challenges the conventional notions of love, life and humanity.",1.0
Doddmane Hudga,Kannada,"Drama, Action, Family",5.8,0.3608,2016-09-30,"Puneeth Rajkumar, Radhika Pandit, Bharathi Rao, Rangayana Raghu, Ambareesh","Surya, a boy belonging to a big family of the town, moves out of the house when ignored by his father Rajivappa. However, after a few years, he comes back to rescue his land against Babu, an evil man.",5.0
Banaras,Kannada,"Romance, Science Fiction, Fantasy",4.0,0.3501,2022-11-04,"Sonal Monteiro, Zaid Khan, Sujay Shastri, Devaraj, Achyuth Kumar","An astronaut from an indefinite future fall in love with a girl in present time each other. When his i love is threatened by an existential element, responsibility falls on him to save her, using his future knowledge as an edge ahead.",1.0
Yadha Yadha Hi,Kannada,"Mystery, Thriller",0.0,0.3476,2023-06-02,"Avinash, Diganth Manchale, Hariprriya, Manju Pavagada, Rangnath Sampath",,0.0
Kotigobba 3,Kannada,"Action, Crime, Thriller",5.8,0.3469,2021-10-14,"Sudeep, Madonna Sebastian, Shraddha Das, P. Ravi Shankar, Aftab Shivdasani","Sathya, a philanthropist who now runs an orphanage, has to go to Poland for the treatment of young Janu. While there, an international criminal named Ghost carries out heists. Who is Ghost? And what has Sathya got to do with it all?",6.0
Mythri,Kannada,Drama,7.0,0.3443,2015-02-20,"Mohanlal, Puneeth Rajkumar, Atul Kulkarni, Kalabhavan Mani, Bhavana","Fast paced and evocative, this contemporary social drama delves into concepts of love and fidelity in human relationships in view of modern liberal lifestyles, through the lives of a scientist and a news anchor.",2.0
Manduka,Kannada,"Mystery, Crime, Thriller",0.0,0.3442,2023-12-15,"Anjala, Madhan, Bhushan, Mysore raju, Manikanta",,0.0
Agnyathavasi,Kannada,"Thriller, Mystery",10.0,0.3384,2025-04-11,"Rangayana Raghu, Sharath Lohitashwa, Ravishanker Gowda, Siddu Moolimani, Paavana Gowda","In 1997, a rural police inspector leads a simple life until a crime occurs at his quiet village outpost after 25 years. His investigation uncovers long-buried secrets in the town.",1.0
Badava Rascal,Kannada,"Comedy, Drama, Action",4.0,0.3286,2021-12-24,"Dhananjay, Amrutha Iyengar, Nagabhushana N S, Poornachandra Mysuru, Rangayana Raghu","Badava Rascal is the journey of Shankar who lives life on his own terms. When he gets kidnapped along with his friend over trivial issues by goons, how does he get out of the trouble and what is the motto of abduction unravels the theme of the story.",2.0
Katha Sangama,Kannada,"Drama, Family, Fantasy, Thriller",5.3,0.3239,2019-12-06,"Kishore, Yagna Shetty, Prakash Belawadi, Sowmya Jaganmurthy, Hariprriya",,3.0
Masterpiece,Kannada,"Drama, Action, Comedy",5.6,0.3208,2015-12-24,"Yash, P. Ravi Shankar, Suhasini Maniratnam, Chikkanna, Achyuth Kumar","Masterpiece is a 2015 Indian Kannada action-thriller film written and directed by Manju Mandavya. It stars Yash and Shanvi Srivastava in the lead roles. The supporting cast features Suhasini Maniratnam, P. Ravi Shankar and Chikkanna. The film was released on 24 December 2015.",7.0
Mounam,Kannada,"Drama, Thriller",1.0,0.3207,2020-02-21,"Avinash, Mayuri Kyatari, Balaji Sarma, BK Balaram, Kempe Gowda","When a person is alone, there are many emotions that start running off in his mind. This film is a psychological thriller that captures these emotions of a different kind. When a person is silent, the mind is making a lot of sound.",1.0
Vishnu Sena,Kannada,Drama,0.0,0.3206,2005-12-22,"Vishnuvardhan, Ramesh Aravind, Lakshmi Gopalaswamy, Srinivasa Murthy, Doddanna",,0.0
Sarkari. Hi. Pra. Shale Kasaragodu,Kannada,Drama,7.7,0.3196,2018-08-23,"Anant Nag, Pramod Shetty, Ramesh Bhat, Prakash Thuminad, Rishab Shetty","In Kasargodu, Kerala is a normal school until a big problem comes in its way.",9.0
Vaamana,Kannada,Action,3.0,0.3189,2025-05-05,"Dhanveer Gowda, Reeshma Nanaiah, Tara, Avinash, Achyuth Kumar","Explores the emotions and lifestyles of ordinary people, with a compelling hero Guna pursuing vengeance against antagonists. His actions are driven by his past life, which influences his present and future.",1.0
Bharaate,Kannada,"Action, Drama, Romance",3.0,0.3163,2019-10-18,"Sreeleela, Sriimurali, Ayyappa P. Sharma, P. Ravi Shankar, Sadhu Kokila",,2.0
Milana,Kannada,"Romance, Drama",7.3,0.3155,2007-09-14,"Puneeth Rajkumar, Pooja Gandhi, Parvathy Thiruvothu, Dileep Raj, Sumithra","Hero is in love with a girl who is forced to marry a police officer. Hero is later forced by his parents to marry a girl liked by them. Here starts the trouble again, even she wants a divorce from him. Will hero divorce her or they are happy with each other is the later part of the story",6.0
Upendra,Kannada,"Thriller, Romance",6.6,0.3151,1999-10-22,"Upendra, Damini, Prema, Raveena Tandon, Arun Govil",,15.0
Mr & Mrs Ramachari,Kannada,"Romance, Action, Drama",6.4,0.312,2014-12-25,"Yash, Radhika Pandit, Achyuth Kumar, Srinath, Malavika Avinash","Lovers Ramachari and Divya part ways when Divya begins to question Ramachari's love, trust and way of life. Will they reconcile?",9.0
Daari Thappida Maga,Kannada,"Drama, Family, Action",8.0,0.2019,1975-02-28,"Dr. Rajkumar, Kalpana, Aarathi, B. Jaya, M. V. Rajamma","Two estranged brothers, who could not be more different from one another, choose different paths in life and are eventually reunited by an unexpected twist of fate.",2.0
MAX,Kannada,"Action, Drama",5.5,0.3099,2024-12-25,"Sudeep, Varalaxmi Sarathkumar, Sunil Varma, Pramod Shetty, Manjunatha Gowda",,2.0
Prasad,Kannada,Drama,0.0,0.2561,2012-03-23,"Arjun Sarja, Madhuri Bhattacharya, Neenasam Ashwath, Ramesh Bhat",Shankar is a mechanic who leads a happy life with his wife Malathi and his sister's daughters. Malathi gives birth to a boy named Prasad who is deaf and dumb. Shankar doesn't love his son because he is physically disabled.,0.0
