Title,Language,Genres,Rating,Popularity,Release Date,Cast,Overview,Vote_Count
panchathantram,telugu,"comedy, drama, family",6.0,0.3866,12/9/2022,"brahmanandam, swathi reddy, samuthirakani, rahul vijay, shivathmika","veda vyas murthy is a retired all india radio announcer whose daughterwants him not to work any longer. when a publishing house announces a story-narration contest, veda vyas' interest to tell stories gets kindled. he narrates five different stories with the theme of five senses: sight, smell, sound, taste, and touch.",0.0
daruvu,telugu,"drama, action, comedy, fantasy",5.222,0.3866,5/24/2012,"ravi teja, taapsee pannu, sayaji shinde, prabhu, kaikala satyanarayana","in yamalokam retirement age comes from senior yama and he gives charge to his son. however experienced chitragupta is retained much to his disappointment. he decides to teach a lesson to new yama and plans to get a person from bhulokam who can create chaos in yamalokam. that person turns out to be bullet raja a mass character. he falls in love with taapsee. though he is yet to complete his lifespan,chitragupta plays a game and bullet raja gets killed only to come to hell. here he discovers the plot and demands to get back to earth. since his body has perished, yama and chitragupta send him inside the home ministers body. what happens from there and how things change forms rest of the story.",9.0
manasantha nuvve,telugu,"romance, drama",7.5,0.3854,10/19/2001,"uday kiran, reema sen, tanu roy, chandramohan, tanikella bharani","anu (baby zeeba) and chanti (master anand vardhan) are childhood friends at araku valley. anu is a daughter of a wealthy government official and chanti is the son of a poor widow. anu leaves chanti at the age of 8 when her parents shift to vizag. later on chanti loses his mother. mohan rao (chandra mohan) gets hold of chanti renames him as venu and adapts him. anu (reema sen) and venu (uday kiran) grows up at their respective places. anu finishes her higher studies in malaysia and returns. venu does also single-mindedly waits for anu. anu starts writing a serial named 'manasanta nuvve', which contains her live story, in swaty magazine hoping that chanti would read it comes back to her. but she keeps her pen name as renu, so that her anonymity could be protected (in the serial the heroine's name is anu and hero's name is chanti).",4.0
n.t.r: mahanayakudu,telugu,drama,4.5,0.3849,2/6/2019,"nandamuri balakrishna, vidya balan, kalyan ram, rana daggubati, poonam bajwa",a follow up to ntr: kathanayakudu which was based on n.t. rama rao's life and acting career. this movie focuses on his political career.,4.0
premadesam,telugu,"romance, comedy, family",7.0,0.383,2/3/2023,"thrigun, megha akash, ajay kumar kathurvar, shiva ramachandravarapu, maya preethi",unknown,1.0
n.t.r: kathanayakudu,telugu,drama,4.9,0.3822,1/9/2019,"nandamuri balakrishna, vidya balan, kalyan ram, poonam bajwa, rana daggubati","based on the journey of the legendary telugu actor, filmmaker and ex-chief minister late taraka rama rao nandamuri.",14.0
ninne premistha,telugu,romance,5.2,0.3819,9/14/2000,"srikanth, soundarya, rajendra prasad, nagarjuna akkineni, k. chakravarthy",a young man meets with an accident and loses his eyesight; three months later he recovers and goes back to his job. he meets a lady who is very affectionate towards him; but why?,5.0
das ka dhamki,telugu,"action, comedy",5.8,0.3813,3/22/2023,"vishwak sen, nivetha pethuraj, rao ramesh, hyper adhi, mahesh achanta",unknown,6.0
varsham,telugu,"drama, thriller, romance",6.2,0.3806,1/14/2004,"prabhas, trisha krishnan, gopichand, prakash raj, sunil varma","venkat and sailaja meet on a train and fall in love. but sailaja's father disapproves of their relationship and decides to marry her off to bhadranna, a ruthless landlord, who is obsessed with her.",17.0
m.c.a,telugu,"action, comedy, family",5.2,0.3796,12/21/2017,"nani, bhumika chawla, sai pallavi, vijay varma, rajiv kanakala","nani's brother and his friends are his world. but he shares a love-hate relationship with his sister-in-law jyothi. what happens when shiva threatens his family, is what 'mca' is all about.",18.0
